"user_id","name","screen_name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x889580220319227904","Code 3 Rockport","code3rockport","Rockport, TX","Freestanding Emergency Room & Urgent Care.","https://t.co/K0atVjy3v6",FALSE,217,1816,0,139,30,2017-07-24 20:17:06,FALSE,"https://t.co/K0atVjy3v6","https://code3er.com","en","https://pbs.twimg.com/profile_banners/889580220319227904/1513272890",,"http://pbs.twimg.com/profile_images/889581270501425152/l4Yipa3X_normal.jpg"
"x49735669","Beverly Fells Jones","BeverlyFellsJon","The Colony, Tx","Author, Inspirational Speaker, Trainer, Silva UltraMind Trainer, The Prime Directive, Hypnotist, Mother of 2, Mimi of 2 http://t.co/bIFawccq","http://t.co/nHmxcYOM6h",FALSE,2099,2326,26,5726,73,2009-06-22 19:30:27,FALSE,"http://t.co/nHmxcYOM6h","http://commandingyourlife.com","en",,"http://abs.twimg.com/images/themes/theme18/bg.gif","http://pbs.twimg.com/profile_images/1907815882/Book_Photo_Shoot_III_normal.jpg"
"x2548826096","Nerdy Momtality","JerricaMLevi","United States","LDS Homemaker and SAHM staving off mental ailments through faith, trust, and a little bit of nerdy dust! Blog coming soon.","https://t.co/6t5eq5olId",FALSE,115,440,5,1700,3063,2014-06-05 23:03:31,FALSE,"https://t.co/6t5eq5olId","http://nerdymomtality.com","en","https://pbs.twimg.com/profile_banners/2548826096/1402011376","http://abs.twimg.com/images/themes/theme10/bg.gif","http://pbs.twimg.com/profile_images/474723499391459328/zAODRIX__normal.jpeg"
"x27648427","ID in Children","IDinChildren","Thorofare, NJ","The official Twitter feed for Infectious Diseases in Children","http://t.co/iktEOVFBNV",FALSE,3541,411,174,8085,110,2009-03-30 14:42:15,FALSE,"http://t.co/iktEOVFBNV","http://www.healio.com/pediatrics","en","https://pbs.twimg.com/profile_banners/27648427/1463164232","http://pbs.twimg.com/profile_background_images/535731458/Healio_twitterBG_large_IDC.jpg","http://pbs.twimg.com/profile_images/630731244762959872/6GiJfnvX_normal.jpg"
"x24296023","The Cavalier Daily","cavalierdaily","Charlottesville, VA","@UVA's premier student-operated independent news organization and Charlottesville's oldest daily newspaper.","http://t.co/MH6BVaySQT",FALSE,23709,436,438,16813,876,2009-03-14 00:55:04,TRUE,"http://t.co/MH6BVaySQT","http://www.cavalierdaily.com","en","https://pbs.twimg.com/profile_banners/24296023/1515535587","http://pbs.twimg.com/profile_background_images/378800000119011772/99d3de015354c955185061e2d7371602.jpeg","http://pbs.twimg.com/profile_images/899650184228950017/4XyZvejf_normal.jpg"
"x175500453","Craig Nigrelli","CraigNigrelli","Omaha, NE","KMTV Main Anchor, News Biz Veteran(Buffalo, Albuquerque, Minneapolis, Kansas City, Omaha), Rutgers grad, loves hockey, lifting weights, mountains & cab sav.","http://t.co/Ght00qJMOU",FALSE,2992,1405,81,21700,679,2010-08-06 19:47:11,FALSE,"http://t.co/Ght00qJMOU","http://www.action3news.com","en","https://pbs.twimg.com/profile_banners/175500453/1469237349","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/725532194265960451/Yz0tmGfh_normal.jpg"
"x227570451","Jeffery Moss","jeffmoss0069","Denham Springs. LA","Starting on Feb 1st, 1971, Starded Working in Labatory at Allied Chemical, in Geismar, LA. Retired/Disability from PotashCorp on Dec 1, 2014, after 44 years...","https://t.co/tnvlQoenXF",FALSE,449,2279,16,10191,396,2010-12-17 05:19:00,FALSE,"https://t.co/tnvlQoenXF","http://www.facebook.com/jeffery.b.moss","en","https://pbs.twimg.com/profile_banners/227570451/1491328871","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/849320947840692226/XPXLJqwb_normal.jpg"
"x246961837","Dr. Richard Pan","DrPanMD","Sacramento, CA","Dr. Pan, a pediatrician and educator, represents Sacramento in the California Senate.  With his wife, he raises two sons and runs a small business.","http://t.co/BpSlyazmbz",FALSE,8390,1430,371,10674,49269,2011-02-03 20:27:38,FALSE,"http://t.co/BpSlyazmbz","http://www.drrichardpan.com","en","https://pbs.twimg.com/profile_banners/246961837/1478700939","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/796355786133770240/bHlezM3D_normal.jpg"
"x27461078","Medscape Nurses","MedscapeNurses","New York","Medscape Nurses helps you stay current with breaking medical news; quickly look up drugs, diseases, and procedures; and complete free CE activities.","http://t.co/O33bfpEljW",FALSE,22784,58,395,19367,210,2009-03-29 17:14:03,FALSE,"http://t.co/O33bfpEljW","http://www.medscape.com/nurses","en","https://pbs.twimg.com/profile_banners/27461078/1410881297","http://pbs.twimg.com/profile_background_images/363940142/MS_twitter_v7.jpg","http://pbs.twimg.com/profile_images/511899454274691072/y5bxm2fW_normal.png"
"x15050454","Tony Tomasone","tonytomasone","Toronto","Entrepreneur, Innovator, Technologist, Geek","http://t.co/eIPMYehHFH",FALSE,60,68,6,578,24,2008-06-08 21:45:35,FALSE,"http://t.co/eIPMYehHFH","http://linkedin.com/in/tonytomasone","en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000739591314/58107402e4cd2a4cd94dd251f844159e_normal.png"
"x593813785","Donna Young","DonnaYoungDC","Washington","All things Washington for pharma/biotech, health care & science news - 'The pharma diviner' - Senior Reporter, S&P Global News","https://t.co/Dh0BddmFod",FALSE,6720,1863,468,66839,7819,2012-05-29 15:45:45,FALSE,"https://t.co/Dh0BddmFod","http://marketintelligence.spglobal.com/our-thinking/news.html","en","https://pbs.twimg.com/profile_banners/593813785/1402071031","http://pbs.twimg.com/profile_background_images/828264930/6cd70d5efa13824b51e8f8dbd73a36c3.jpeg","http://pbs.twimg.com/profile_images/474939099648778240/Ug76s07w_normal.jpeg"
"x2890868115","InfectiousDiseaseAdv","InfectDiseaseAd","New York, NY","Infectious Disease Advisor is an online resource for health care professionals who treat patients with infectious diseases.","http://t.co/uM6qtqlhpC",FALSE,349,245,21,1499,517,2014-11-24 15:46:40,FALSE,"http://t.co/uM6qtqlhpC","http://www.infectiousdiseaseadvisor.com/","en","https://pbs.twimg.com/profile_banners/2890868115/1436217615","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/618167518725832704/aAwlSAH3_normal.png"
"x581167067","911 Safety Services","911Safety","Yucaipa, CA","911 Safety Services is a premier training center that is committed to providing the best in CPR, AED & First Aid certification programs and products available!","https://t.co/VoeTuK4rrF",FALSE,1221,1091,21,11688,55,2012-05-15 19:14:38,FALSE,"https://t.co/VoeTuK4rrF","http://www.911safetyservices.com","en","https://pbs.twimg.com/profile_banners/581167067/1487874215","http://pbs.twimg.com/profile_background_images/470805707239866368/pUiCrfzq.jpeg","http://pbs.twimg.com/profile_images/705930006061404160/mNL8BFFC_normal.jpg"
"x65911600","Holeinthehead2","holeinthehead2","Hobart, IN 46342","LIBERAL, Fine Artist, Photographer, Movie Nut, Garden Nut, Rabid Knowledge Aquisition, NHRA Nut, Apple Evangelist","https://t.co/rRGrP44qYG",FALSE,694,1098,55,24310,187,2009-08-15 14:54:38,FALSE,"https://t.co/rRGrP44qYG","http://holeintheheadesign.com","en",,"http://pbs.twimg.com/profile_background_images/58069243/TwitterBG2.jpg","http://pbs.twimg.com/profile_images/958817156048748546/C-c63DvF_normal.jpg"
"x36406830","CIDRAP","CIDRAP","Minneapolis, MN","the Center for Infectious Disease Research and Policy at the University of Minnesota","http://t.co/TMHsltUNna",FALSE,7831,146,427,14957,16,2009-04-29 16:56:19,FALSE,"http://t.co/TMHsltUNna","http://www.cidrap.umn.edu","en","https://pbs.twimg.com/profile_banners/36406830/1375910709","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000050252463/650fc75242147dcde3a2d615d2510a76_normal.png"
"x247351807","NFID","NFIDvaccines","Bethesda, MD","Non-profit educating public & #healthcare professionals on causes, treatment, & prevention of infectious diseases across the lifespan #FightFlu #GetVaccinated","http://t.co/uI84I9o67B",FALSE,5319,4184,155,14295,1460,2011-02-04 16:31:52,FALSE,"http://t.co/uI84I9o67B","http://www.nfid.org/info","en","https://pbs.twimg.com/profile_banners/247351807/1386167943","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000867106495/72WYzeR4_normal.jpeg"
"x14207863","Smithsonian's NMNH","NMNH","Washington D.C.","The @Smithsonian’s National Museum of Natural History. Understanding the natural world and our place in it. Legal: https://t.co/dJOZaQ7IFu","https://t.co/7FEAejy9FQ",FALSE,218607,2188,2720,18770,7185,2008-03-24 14:58:07,TRUE,"https://t.co/7FEAejy9FQ","http://www.mnh.si.edu/","en","https://pbs.twimg.com/profile_banners/14207863/1508944528","http://pbs.twimg.com/profile_background_images/585161913614512129/glurJ3s1.jpg","http://pbs.twimg.com/profile_images/755053932838346752/0n5Jca-M_normal.jpg"
"x478786305","Healio.com","GoHealio","Thorofare, NJ","General knowledge has its place. Specialty experience lives here.","http://t.co/lOaSJUIA2D",FALSE,2794,1164,259,27917,4058,2012-01-30 17:23:35,FALSE,"http://t.co/lOaSJUIA2D","http://healio.com","en",,"http://pbs.twimg.com/profile_background_images/838187335/6b23cb593a6a0f75be9007951a1c0473.gif","http://pbs.twimg.com/profile_images/2459659909/br7k66imakbbd3xfp14z_normal.jpeg"
"x67008915","ID News","InfectDisNews","Thorofare, NJ","Official feed for Infectious Disease News. Follow us for the latest clinical trial results and ID news. Find us also on FB: https://t.co/TYznTtEzvC","https://t.co/wfbPD6NyEn",FALSE,4609,1098,154,9646,660,2009-08-19 14:09:24,FALSE,"https://t.co/wfbPD6NyEn","http://www.healio.com/ID","en","https://pbs.twimg.com/profile_banners/67008915/1427900054","http://pbs.twimg.com/profile_background_images/378800000057130458/dfeb1c09381498181273a8006efaa258.jpeg","http://pbs.twimg.com/profile_images/463710721830711297/OBf7BJDp_normal.jpeg"
