"user_id","name","screen_name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x135366451","T’Corey 🙅🏾‍♂️Wakanda","CoreyJ863","Lakeland, FL","Univ. of Miami Alum.; UCF MBA Student; Sports & Business; #StickCarrier #CaneGang. FGC Rookie. PSN ID: @CRJ863. Heavy on the DBFighterz",,FALSE,617,1000,13,15533,29406,2010-04-21 03:17:23,FALSE,,,"en","https://pbs.twimg.com/profile_banners/135366451/1512835220","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/965774636532359169/tfMbDkKh_normal.jpg"
"x2872725604","Roland Chowfatt","TrueTriniRed","New York City","A Holistic Health&Wellness Consultant An IIN & SJU graduate My passion is to help those who want better optimal health&wellness Eat well Live well LFC4LIFE YNWA",,FALSE,2111,2311,168,3815,346,2014-11-11 19:03:35,FALSE,,,"en","https://pbs.twimg.com/profile_banners/2872725604/1415733390","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/712573248215597056/58eu8JGf_normal.jpg"
"x121881757","North Brothers Ford","northbros","Westland, MI","North Bros Ford is a premier Ford dealership proudly serving the Southeast Michigan area with exceptional customer service. Stop by sometime for a test-drive!","https://t.co/WhSj6UwlBJ",FALSE,616,1020,48,28338,4987,2010-03-10 22:33:26,FALSE,"https://t.co/WhSj6UwlBJ","http://www.northbrothersford.net/","en","https://pbs.twimg.com/profile_banners/121881757/1512145854","http://pbs.twimg.com/profile_background_images/378800000150074065/ZFbw7U_B.jpeg","http://pbs.twimg.com/profile_images/936633643677691904/jilqlSlS_normal.jpg"
"x123758969","🍙 p a m e l a 🍥","itslitcomrade","Chicago, IL","🥀artist • otaku (๑´□`๑) • disillusioned & chronically ill • nihilistic humor is my love language ✨",,FALSE,753,279,17,12008,15651,2010-03-17 04:22:22,FALSE,,,"en","https://pbs.twimg.com/profile_banners/123758969/1518671316","http://pbs.twimg.com/profile_background_images/535637410294411264/v6cvdw9Y.jpeg","http://pbs.twimg.com/profile_images/957862513479159808/30mBN12K_normal.jpg"
"x4078951408","The Outline","outline","New York, NY","It's not for everyone. It's for you.","https://t.co/XjkfPUOJTH",FALSE,36120,431,751,7568,1889,2015-10-31 00:32:13,TRUE,"https://t.co/XjkfPUOJTH","https://theoutline.com","en","https://pbs.twimg.com/profile_banners/4078951408/1518034727","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/760456573265338370/Q8l4G9wE_normal.jpg"
"x64174532","Edward H.","Pghpirates1fan","Pittsburgh","",,FALSE,183,741,5,5606,2517,2009-08-09 13:37:36,FALSE,,,"en","https://pbs.twimg.com/profile_banners/64174532/1517789882","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/947546077800075264/T-UoV3jU_normal.jpg"
"x766648965357973509","James Eastland","JamesEastland11","Missouri, USA","",,FALSE,51,403,0,372,101,2016-08-19 14:52:11,FALSE,,,"en","https://pbs.twimg.com/profile_banners/766648965357973509/1517331829",,"http://pbs.twimg.com/profile_images/915758598671687680/g_MFf8Xm_normal.jpg"
"x497479893","LL Cool Zay","ZareyaSimmers","Lancaster, PA ","fat ass thin patience","https://t.co/929tAWfbJl",FALSE,275,187,0,8252,12649,2012-02-20 01:39:20,FALSE,"https://t.co/929tAWfbJl","http://www.example.com","en","https://pbs.twimg.com/profile_banners/497479893/1516582926","http://pbs.twimg.com/profile_background_images/800603017/0420d37224d2542a4769aa0ae16087cf.jpeg","http://pbs.twimg.com/profile_images/966110276545335296/jvnLDagK_normal.jpg"
"x404188520","Roger Johnson","OverEdukated","Sapulpa, OK","Holmes Park Elementary Principal in Sapulpa and Owner of Over Edukated Music & Arts. Currently playing bass for the Dixon Road.","https://t.co/sOZwDK4Pmv",FALSE,239,129,0,10152,96,2011-11-03 15:33:26,FALSE,"https://t.co/sOZwDK4Pmv","http://www.overedukated.com","en","https://pbs.twimg.com/profile_banners/404188520/1480478025","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/866473129266356224/ekgDls8__normal.jpg"
"x838952628251828224","David of Murder Dice Podcast","MurderDice","Portland, OR","Murder Dice is a 5e Dungeons and Dragons podcast. Our DM - @MikeVorpal - Likes to try and murder us. Twitter run by David aka Dres.","https://t.co/eO02WZ83Fz",FALSE,1367,713,24,4365,11524,2017-03-07 03:21:08,FALSE,"https://t.co/eO02WZ83Fz","https://itunes.apple.com/us/podcast/murder-dice-a-5e-dungeons-dragons-podcast/id1233020920?mt=2","en","https://pbs.twimg.com/profile_banners/838952628251828224/1501137175",,"http://pbs.twimg.com/profile_images/942303781638696960/7sWGXjv4_normal.jpg"
