"user_id","name","screen_name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x27648427","ID in Children","IDinChildren","Thorofare, NJ","The official Twitter feed for Infectious Diseases in Children","http://t.co/iktEOVFBNV",FALSE,3541,411,174,8085,110,2009-03-30 14:42:15,FALSE,"http://t.co/iktEOVFBNV","http://www.healio.com/pediatrics","en","https://pbs.twimg.com/profile_banners/27648427/1463164232","http://pbs.twimg.com/profile_background_images/535731458/Healio_twitterBG_large_IDC.jpg","http://pbs.twimg.com/profile_images/630731244762959872/6GiJfnvX_normal.jpg"
"x24296023","The Cavalier Daily","cavalierdaily","Charlottesville, VA","@UVA's premier student-operated independent news organization and Charlottesville's oldest daily newspaper.","http://t.co/MH6BVaySQT",FALSE,23709,436,438,16813,876,2009-03-14 00:55:04,TRUE,"http://t.co/MH6BVaySQT","http://www.cavalierdaily.com","en","https://pbs.twimg.com/profile_banners/24296023/1515535587","http://pbs.twimg.com/profile_background_images/378800000119011772/99d3de015354c955185061e2d7371602.jpeg","http://pbs.twimg.com/profile_images/899650184228950017/4XyZvejf_normal.jpg"
"x732787392722182144","delthia ricks 🔬","DelthiaRicks","New York","Health&Science Writer/Sr. Reporter @Newsday. Author. Gardener. Citizen Scientist.","https://t.co/FZtctyarBc",FALSE,1432,1193,27,6276,874,2016-05-18 04:18:23,FALSE,"https://t.co/FZtctyarBc","http://newsday.com","en","https://pbs.twimg.com/profile_banners/732787392722182144/1506200805",,"http://pbs.twimg.com/profile_images/829351399842459648/ysm2WCM-_normal.jpg"
"x44195577","AADE","AADEdiabetes","Chicago, IL","The American Assn of Diabetes Educators is a multidisciplinary professional membership organization dedicated to improving diabetes care through education.","http://t.co/pJsmLPjJ98",FALSE,9305,1661,262,4541,2744,2009-06-02 20:08:52,TRUE,"http://t.co/pJsmLPjJ98","http://www.diabeteseducator.org","en","https://pbs.twimg.com/profile_banners/44195577/1492711385","http://pbs.twimg.com/profile_background_images/20058300/twitter-bkgr.jpg","http://pbs.twimg.com/profile_images/841303490014171137/nRMnc7sB_normal.jpg"
"x943229128198774784","Angela Case","WriterMom74","Shreveport, LA","I'm a mother and writer. I've got a wicked sense of humor and a potty mouth my child has inherited. #amwriting #believeinyourself #coffeeislife #momlife",,FALSE,105,271,1,173,777,2017-12-19 21:18:43,FALSE,,,"en","https://pbs.twimg.com/profile_banners/943229128198774784/1513720236","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/943236827028381697/Iu5cOVK6_normal.jpg"
"x20067285","Drug Store News","DrugStoreNews","New York, NY","Reporting on the retail pharmacy industry","http://t.co/veXGlfJbtu",FALSE,10403,851,322,17805,179,2009-02-04 16:40:09,FALSE,"http://t.co/veXGlfJbtu","http://www.drugstorenews.com","en","https://pbs.twimg.com/profile_banners/20067285/1480368073","http://pbs.twimg.com/profile_background_images/242008227/hellawella2.gif","http://pbs.twimg.com/profile_images/959436573459795968/uRYbRfQs_normal.jpg"
"x2318775175","Luba Rokpelnis","r_luba","USA","Daughter of the King, wife of Yanis, book lover, clarinet player.  I help women to feel better through a detox and natural remedies!  https://t.co/Fg2bbeSyNb","https://t.co/PRXTn0Qbh2",FALSE,1225,1858,86,9856,4184,2014-01-30 11:57:45,FALSE,"https://t.co/PRXTn0Qbh2","http://www.healthywithluba.com/gift","en","https://pbs.twimg.com/profile_banners/2318775175/1504130653","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/894383799097864192/3yiYDZnc_normal.jpg"
"x711320162","GermieNYC","GermieNYC","New York","Millions of workers in the U.S. have no access to paid sick time and I am everywhere! It's *past* time to improve our #paidleave & #childcare policies!","https://t.co/u80nsbZ4sD",FALSE,177,245,29,2861,463,2012-07-22 21:47:28,FALSE,"https://t.co/u80nsbZ4sD","http://timetocareny.org/nyc/whatcando/index.html","en","https://pbs.twimg.com/profile_banners/711320162/1368804538","http://pbs.twimg.com/profile_background_images/611592106/zr5zs0wkpk8g5v6bxnvc.gif","http://pbs.twimg.com/profile_images/2423244303/5g4akq8cszmej9i52lpb_normal.gif"
"x71307217","timetocareny","timetocareny","New York, NY","No one should be forced to choose between a paycheck & caring for their health/a sick family member. We work for #paidsickdays, #paidleave, #childcare & more.","https://t.co/qcO0T57xeH",FALSE,1662,1668,123,16746,13010,2009-09-03 17:21:36,FALSE,"https://t.co/qcO0T57xeH","http://www.timetocareny.org","en","https://pbs.twimg.com/profile_banners/71307217/1491999962","http://pbs.twimg.com/profile_background_images/887119080/77fea4610a8bf0eb780e6c9ca231597d.png","http://pbs.twimg.com/profile_images/852138711403966466/ZycYYRK-_normal.jpg"
"x90806148","Raul Juarez","junii_33","Whittier, CA","Life and death are just words when our hearts are set on being victorious.",,FALSE,361,550,2,24829,6113,2009-11-18 05:07:34,FALSE,,,"en","https://pbs.twimg.com/profile_banners/90806148/1400186605","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/477223960304553985/ehqLtQEb_normal.jpeg"
"x16616061","CDC Flu","CDCFlu","Atlanta, GA","Flu-related updates from the Centers for Disease Control & Prevention. Comments received are subject to PRA & may be archived http://t.co/0pSedHPF.","http://t.co/lUxZW5JZh3",FALSE,793590,145,4562,4827,698,2008-10-06 16:50:46,TRUE,"http://t.co/lUxZW5JZh3","http://www.cdc.gov/flu","en","https://pbs.twimg.com/profile_banners/16616061/1364832010","http://pbs.twimg.com/profile_background_images/830723821/23f0a3fd68d9539fed2e5c4b734ed515.jpeg","http://pbs.twimg.com/profile_images/3462120706/20423349f3c54e6b6759eac28ca3219a_normal.jpeg"
"x60181026","George Nikolich","ganikol","Fresno, CA","Interests in agronomy, IPM, postharvest handling of tree fruit, food safety, biotechnology, skeptical movement & improving critical thinking skills.",,FALSE,180,201,3,1348,970,2009-07-25 23:51:53,FALSE,,,"en","https://pbs.twimg.com/profile_banners/60181026/1501915252","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/893719903122866177/Av7u9lH3_normal.jpg"
"x1117395169","AFHSB","AFHSBPAGE","Falls Church, VA","Armed Forces #Health Surveillance Branch is the central #Epidemiological health resource for the U.S. #Military & #HealthProviders.","https://t.co/fZYbh8UQlO",FALSE,2057,1930,155,10665,2169,2013-01-24 18:05:04,FALSE,"https://t.co/fZYbh8UQlO","http://www.health.mil/afhsb","en","https://pbs.twimg.com/profile_banners/1117395169/1517337071","http://pbs.twimg.com/profile_background_images/776695764/a75f9422d06548f4d52526be5a9f4db4.jpeg","http://pbs.twimg.com/profile_images/635710547539791872/iLrSQzUh_normal.png"
"x745261084605550592","Healthy World","healthy_wrld","United States","Follow us and start getting an healthy life. Real time health and fitness here!",,FALSE,14939,5919,255,186739,1113,2016-06-21 14:24:23,FALSE,,,"en","https://pbs.twimg.com/profile_banners/745261084605550592/1466519251","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/745262281429233664/HNUlduDu_normal.jpg"
"x1183066176","Cecilia Murillo","Ceciliamuri","Estados Unidos","Discreción, nada más.",,FALSE,644,754,1,3630,0,2013-02-15 16:15:51,FALSE,,,"es","https://pbs.twimg.com/profile_banners/1183066176/1360945417","http://pbs.twimg.com/profile_background_images/791553385/8dc15403a58d218fa0c1a037a4efbcbc.jpeg","http://pbs.twimg.com/profile_images/3257100544/986f549c11dcbe1a90907903f5cb1fd5_normal.jpeg"
"x38439999","Nick Naumof","NicholasNaumof","Washington DC Metro Area USA","Behavioral Science Thinker, Writer, Trainer. Fusing Behavioral Science with Service Design. Author of It Makes (No) Sense","https://t.co/c7jpRPfSpr",FALSE,714,399,70,1847,514,2009-05-07 14:26:52,FALSE,"https://t.co/c7jpRPfSpr","http://naumof.com","en","https://pbs.twimg.com/profile_banners/38439999/1475726903","http://pbs.twimg.com/profile_background_images/378800000045776859/37806ccab990362ae7f72fb7b39e86aa.png","http://pbs.twimg.com/profile_images/804812993871671296/7e3CY5SZ_normal.jpg"
"x847425209531367426","bp","beep33TV","Atlanta, GA","INFJ. 34. Co-host of @NoStigmaPod & @EarpsplainPod | Mental illness threads | Loves the hundy & Clarke Griffin | WynonnaEarp @EarpYourFandom | A FORCE.","https://t.co/XCEpXo3EJX",FALSE,490,318,7,7377,7245,2017-03-30 12:28:09,FALSE,"https://t.co/XCEpXo3EJX","http://beep33tv.com","en","https://pbs.twimg.com/profile_banners/847425209531367426/1499903295",,"http://pbs.twimg.com/profile_images/907774196343820288/9ThpPhIF_normal.jpg"
"x346296219","Andrea Camino ツ","FlavorPR","Chicago, IL","Public Relations and New Media Manager at @accpchest, single mother, running enthusiast, music fanatic, Tech geek, book reading, nerd. Views=mine #pulmcc","https://t.co/bDbf7iwjWD",FALSE,544,1567,29,3417,2824,2011-08-01 01:42:56,FALSE,"https://t.co/bDbf7iwjWD","http://www.chestnet.org","en","https://pbs.twimg.com/profile_banners/346296219/1482852919","http://pbs.twimg.com/profile_background_images/636048239/3yxed0eqdjbf7fz2ux26.jpeg","http://pbs.twimg.com/profile_images/869529186884620288/euQ0z-q0_normal.jpg"
